,state,kg,date,region
489,MT,25462667,2020-02-01 00:00:00,brazil
490,ND,40000000,2020-04-01 00:00:00,brazil
491,TO,36452097,2020-04-01 00:00:00,brazil
492,RO,45370000,2020-02-01 00:00:00,brazil
493,MG,12652,2020-01-01 00:00:00,brazil
494,MT,163307081,2020-02-01 00:00:00,brazil
495,BA,3599030,2020-04-01 00:00:00,brazil
496,MT,83277067,2020-02-01 00:00:00,brazil
497,RO,12938177,2020-04-01 00:00:00,brazil
498,SP,4500000,2020-03-01 00:00:00,brazil
499,MT,8951622,2020-04-01 00:00:00,brazil
500,PR,14520567,2020-03-01 00:00:00,brazil
501,PA,28164055,2020-03-01 00:00:00,brazil
502,RS,2982613,2020-02-01 00:00:00,brazil
503,GO,491222,2020-01-01 00:00:00,brazil
504,MS,668427,2020-02-01 00:00:00,brazil
505,MT,8097,2020-01-01 00:00:00,brazil
506,PI,12150189,2020-04-01 00:00:00,brazil
507,SP,7500000,2020-04-01 00:00:00,brazil
508,BA,49660,2020-01-01 00:00:00,brazil
509,ND,60000000,2020-04-01 00:00:00,brazil
510,SP,8300000,2020-02-01 00:00:00,brazil
511,MT,46781301,2020-01-01 00:00:00,brazil
512,BA,223382356,2020-04-01 00:00:00,brazil
513,MS,4034462,2020-03-01 00:00:00,brazil
514,PR,821878767,2020-03-01 00:00:00,brazil
515,MT,104075211,2020-02-01 00:00:00,brazil
516,PR,2862790,2020-02-01 00:00:00,brazil
517,ND,40000000,2020-04-01 00:00:00,brazil
518,TO,24782658,2020-04-01 00:00:00,brazil
519,MT,40987640,2020-04-01 00:00:00,brazil
520,MS,4489361,2020-04-01 00:00:00,brazil
521,BA,2841846,2020-01-01 00:00:00,brazil
522,PR,23350,2020-04-01 00:00:00,brazil
523,MT,58929857,2020-03-01 00:00:00,brazil
524,MT,108531,2020-01-01 00:00:00,brazil
525,MT,53433485,2020-03-01 00:00:00,brazil
526,MA,16211318,2020-03-01 00:00:00,brazil
527,DF,892260,2020-01-01 00:00:00,brazil
528,MG,19943300,2020-03-01 00:00:00,brazil
529,PI,50679122,2020-01-01 00:00:00,brazil
530,RS,1281679,2020-02-01 00:00:00,brazil
531,RO,1600000,2020-02-01 00:00:00,brazil
532,PR,84390245,2020-03-01 00:00:00,brazil
533,SP,13647275,2020-03-01 00:00:00,brazil
534,DF,3642872,2020-03-01 00:00:00,brazil
535,MG,32500055,2020-03-01 00:00:00,brazil
536,MT,14000000,2020-04-01 00:00:00,brazil
537,PA,11050000,2020-03-01 00:00:00,brazil
538,ND,43000000,2020-04-01 00:00:00,brazil
539,SP,297909,2020-01-01 00:00:00,brazil
